model,en,bn,de,id,ko,pt,ru,zh,avg
ctrl_muniter,54.676184564452726,49.079246844609976,51.62424994827229,49.89654458928202,47.992965032071176,51.5725222429133,45.68590937306021,47.50672460169667,49.05116609027224
ctrl_xuniter,54.831367680529695,48.64473411959446,51.92427063935444,50.14483757500518,48.13780260707635,51.75874198220567,45.7583281605628,47.65156217670184,49.14575389435724
uc2,55.193461618042626,49.30684874818953,52.60707635009311,50.34140285536933,48.62404303745086,52.17256362507759,49.94827229464101,48.324022346368714,50.189175608170025
m3p,53.745085867990895,47.786054210635214,51.01386302503621,49.34823091247672,47.641216635630045,51.21042830540037,47.75501758741982,47.04117525346575,48.827997990009166
ctrl_lxmert,53.037048815391955,47.58948893027105,50.46554934823091,48.4274777570867,47.082557417752945,50.06207324643079,47.05152079453755,45.90316573556797,48.083119032839704
ctrl_uniter,55.58912386706949,50.0413821642872,52.24498241258018,50.67246016966688,49.29650320711773,52.72087730188289,50.765570039313054,48.61369749637906,50.622210398746724
ctrl_vilbert,55.819685164573066,49.65859714463066,53.01055245189323,51.06559073039521,49.006828057107384,52.503620939375125,48.77922615352783,48.26194909993793,50.32662351098105
ctrl_visualbert,53.67307998091907,47.74467204634802,50.32071177322573,48.72749844816884,47.43430581419408,50.775915580384854,48.58266087316367,47.465342437409475,48.721586710413526
ctrl_vl-bert,55.740181268882175,49.34823091247672,51.686323194703085,50.71384233395406,48.489551003517484,52.555348644734124,47.45499689633768,48.24125801779433,49.78422157193107
